NAME,"Wilson County, Tennessee"
Population 2023_PEP,163674
Population 2010_1YR,113993
Population 2020_1YR,147737
Age%:School Age 5 to 18 2022_5YR,17.42031979
Poverty%: Below Poverty Level 2022_5YR,8.290593051
Age%:65 and Older 2022_5YR,15.77238826
Minority % ACS 2022_5YR,17.8931695
Average Household Size 2022_5YR,2.68
CB%: Cost Burdened Homeowners 2022_5YR,17.95802877
CB%:Cost Burdened Renters 2022_5YR,44.51572028
Median Household Income 2022_5YR,89462
Population % Increase 2010 to 2020 1 YR EST,29.60181766
Ind:Total 2010_BEA,53289
Ind:Total 2020_BEA,79255
Ind:Total 2022_BEA,94211
Ind%:Snapshot: White Collar 2022_BEA,34.47049708
Ind%:Snapshot: Blue Collar 2022_BEA,34.95770133
Employment % Increase 2010 to 2020,48.72675411
